Unnamed: 0,date,symbol,sc_code,sc_group,open,high,low,close,volume,turnover,open_b1,high_b1,low_b1,close_b1,open_b2,high_b2,low_b2,close_b2,open_b3,high_b3,low_b3,close_b3,open_b4,high_b4,low_b4,close_b4,open_b5,high_b5,low_b5,close_b5,open_b6,high_b6,low_b6,close_b6,price_change,price_change_across_b50,price_change_across_b252,sharpe_252,sharpe_252_sma3,sharpe_mmt,supert,supertd,52w_high,2yr_high,3yr_high,ema10,ema21,sma50,sma100,sma200,atr_14,net_change_atr,rsi_7,rsi_7_sma3,rsi_14,rsi_14_sma3,crsi,supert_w,sl_w,peak_b1,trough_b1,max_buy_price_b1,risk,buy
2319017,2018-01-30,AMBER,540902,B ,1180.0,1263.0,1114.1,1237.25,95364,2160924060.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1,,,,,,,,,0.0,,,,,,,,,,,,,0
2322186,2018-01-31,AMBER,540902,B ,1232.5,1298.3,1230.0,1250.15,23645,580864527.0,1180.0,1263.0,1114.1,1237.25,,,,,,,,,,,,,,,,,,,,,0.010426348757324844,,,,,,,1,1250.15,1250.15,1250.15,,,,,,0.0,,,,,,,,,,,,,0
2325296,2018-02-01,AMBER,540902,B ,1256.0,1327.0,1227.0,1277.3,18686,399959491.0,1232.5,1298.3,1230.0,1250.15,1180.0,1263.0,1114.1,1237.25,,,,,,,,,,,,,,,,,0.02171739391273042,,,,,,,1,1277.3,1277.3,1277.3,,,,,,0.0,,,,,,,,,,,,,0
2328430,2018-02-02,AMBER,540902,B ,1260.0,1274.0,1200.4,1225.6,6158,123131585.0,1256.0,1327.0,1227.0,1277.3,1232.5,1298.3,1230.0,1250.15,1180.0,1263.0,1114.1,1237.25,,,,,,,,,,,,,-0.040476004071087535,,,,,,,1,1277.3,1277.3,1277.3,,,,,,0.0,,,,,,,0.0,0.0,,,,1.0,0
2331573,2018-02-05,AMBER,540902,B ,1200.0,1245.0,1001.0,1226.6,4684,78297151.0,1260.0,1274.0,1200.4,1225.6,1256.0,1327.0,1227.0,1277.3,1232.5,1298.3,1230.0,1250.15,1180.0,1263.0,1114.1,1237.25,,,,,,,,,0.0008159268929504027,,,,,,,1,1277.3,1277.3,1277.3,,,,,,0.0,,,,,,,0.0,0.0,,,,1.0,0
2334672,2018-02-06,AMBER,540902,B ,1190.0,1235.0,1126.0,1205.6,2249,42124713.0,1200.0,1245.0,1001.0,1226.6,1260.0,1274.0,1200.4,1225.6,1256.0,1327.0,1227.0,1277.3,1232.5,1298.3,1230.0,1250.15,1180.0,1263.0,1114.1,1237.25,,,,,-0.017120495679113,,,,,,,1,1277.3,1277.3,1277.3,,,,,,0.0,,,,,,,0.0,0.0,,,,1.0,0
2337751,2018-02-07,AMBER,540902,B ,1225.0,1249.9,1190.0,1201.65,1911,35536531.0,1190.0,1235.0,1126.0,1205.6,1200.0,1245.0,1001.0,1226.6,1260.0,1274.0,1200.4,1225.6,1256.0,1327.0,1227.0,1277.3,1232.5,1298.3,1230.0,1250.15,1180.0,1263.0,1114.1,1237.25,-0.003276376907763612,,,,,,,1,1277.3,1277.3,1277.3,,,,,,0.0,,28.152438574630054,,,,,0.0,0.0,,,,1.0,0
2340845,2018-02-08,AMBER,540902,B ,1205.1,1235.0,1177.5,1197.7,2902,57193855.0,1225.0,1249.9,1190.0,1201.65,1190.0,1235.0,1126.0,1205.6,1200.0,1245.0,1001.0,1226.6,1260.0,1274.0,1200.4,1225.6,1256.0,1327.0,1227.0,1277.3,1232.5,1298.3,1230.0,1250.15,-0.0032871468397620562,,,,,,,1,1277.3,1277.3,1277.3,,,,,,0.0,,26.540287280251036,,,,,0.0,0.0,,,,1.0,0
2343916,2018-02-09,AMBER,540902,B ,1180.0,1216.6,1176.05,1195.25,1556,29417666.0,1205.1,1235.0,1177.5,1197.7,1225.0,1249.9,1190.0,1201.65,1190.0,1235.0,1126.0,1205.6,1200.0,1245.0,1001.0,1226.6,1260.0,1274.0,1200.4,1225.6,1256.0,1327.0,1227.0,1277.3,-0.002045587375803626,,,,,,,1,1277.3,1277.3,1277.3,,,,,,0.0,,25.484254291443634,26.72566004877491,,,,,0.0,,,,1.0,0
2347071,2018-02-12,AMBER,540902,B ,1212.0,1213.1,1189.05,1194.15,905,15325487.0,1180.0,1216.6,1176.05,1195.25,1205.1,1235.0,1177.5,1197.7,1225.0,1249.9,1190.0,1201.65,1190.0,1235.0,1126.0,1205.6,1200.0,1245.0,1001.0,1226.6,1260.0,1274.0,1200.4,1225.6,-0.0009203095586696186,,,,,,,1,1277.3,1277.3,1277.3,1213.1409125530297,,,,,0.0,,24.96394864787021,25.662830073188292,,,,,0.0,,,,1.0,0
