date,symbol,open,high,low,close,volume,turnover,open_b1,open_b2,open_b3,open_b4,open_b5,open_b6,high_b1,high_b2,high_b3,high_b4,high_b5,high_b6,low_b1,low_b2,low_b3,low_b4,low_b5,low_b6,close_b1,close_b2,close_b3,close_b4,close_b5,close_b6,price_change,ema10,sma30,wdma30,ema10_b1,ema10_b2,ema10_b3,ema10_b4,ema10_b5,ema10_b6,sma30_b1,sma30_b2,sma30_b3,sma30_b4,sma30_b5,sma30_b6,wdma30_b1,wdma30_b2,wdma30_b3,wdma30_b4,wdma30_b5,wdma30_b6,sharpe_104,sharpe_mmt,supert,supertd,supert_b1,supert_b2,supert_b3,supert_b4,supertd_b1,supertd_b2,supertd_b3,supertd_b4,rsi_7,rsi_7_sma3,rsi_7_sma3_b1,rsi_7_sma3_b2,atr_14,net_change_atr,net_change_atr_b1,net_change_atr_b2,net_change_atr_b3,net_change_atr_b4,crsi,crsi_b1,crsi_b2
2018-01-30,AMBER,1180.0,1327.0,1114.1,1225.6,143853,3264879663.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1225.6,,,,,,,,,,,,,,,,,,,,,0.0,1,,,,,,,,,,,,,0.0,,,,,,,,
2018-02-05,AMBER,1200.0,1249.9,1001.0,1195.25,13302,242569916.0,1180.0,,,,,,1327.0,,,,,,1114.1,,,,,,1225.6,,,,,,-0.024763381201044266,,,1224.5883333333334,,,,,,,,,,,,,1225.6,,,,,,,,,1,0.0,,,,1.0,,,,,,,,0.0,,,,,,,,
2018-02-12,AMBER,1212.0,1213.1,1142.0,1155.2,4698,74851632.0,1200.0,1180.0,,,,,1249.9,1327.0,,,,,1001.0,1114.1,,,,,1195.25,1225.6,,,,,-0.033507634386111707,,,1222.275388888889,,,,,,,,,,,,,1224.5883333333334,1225.6,,,,,,,,1,,0.0,,,1.0,1.0,,,,,,,0.0,,,,,,,,
2018-02-19,AMBER,1144.0,1165.85,1065.0,1127.05,7756,104858555.0,1212.0,1200.0,1180.0,,,,1213.1,1249.9,1327.0,,,,1142.0,1001.0,1114.1,,,,1155.2,1195.25,1225.6,,,,-0.0243680747922439,,,1219.1012092592593,,,,,,,,,,,,,1222.275388888889,1224.5883333333334,1225.6,,,,,,,1,,,0.0,,1.0,1.0,1.0,,,,,,0.0,,,,,,,,
2018-02-26,AMBER,1144.0,1149.1,1075.2,1101.35,3948,114147407.0,1144.0,1212.0,1200.0,1180.0,,,1165.85,1213.1,1249.9,1327.0,,,1065.0,1142.0,1001.0,1114.1,,,1127.05,1155.2,1195.25,1225.6,,,-0.022802892506987305,,,1215.1761689506172,,,,,,,,,,,,,1219.1012092592593,1222.275388888889,1224.5883333333334,1225.6,,,,,,1,,,,0.0,1.0,1.0,1.0,1.0,,,,,0.0,,,,,,,,
2018-03-05,AMBER,1105.0,1148.9,1093.0,1104.35,4511,138395038.0,1144.0,1144.0,1212.0,1200.0,1180.0,,1149.1,1165.85,1213.1,1249.9,1327.0,,1075.2,1065.0,1142.0,1001.0,1114.1,,1101.35,1127.05,1155.2,1195.25,1225.6,,0.00272392972261315,,,1211.48196331893,,,,,,,,,,,,,1215.1761689506172,1219.1012092592593,1222.275388888889,1224.5883333333334,1225.6,,,,,1,,,,,1.0,1.0,1.0,1.0,,,,,0.0,,,,,,,,
2018-03-12,AMBER,1112.15,1189.0,1098.05,1160.05,4900,69879715.0,1105.0,1144.0,1144.0,1212.0,1200.0,1180.0,1148.9,1149.1,1165.85,1213.1,1249.9,1327.0,1093.0,1075.2,1065.0,1142.0,1001.0,1114.1,1104.35,1101.35,1127.05,1155.2,1195.25,1225.6,0.0504369085887626,,,1209.7675645416323,,,,,,,,,,,,,1211.48196331893,1215.1761689506172,1219.1012092592593,1222.275388888889,1224.5883333333334,1225.6,,,,1,,,,,1.0,1.0,1.0,1.0,44.63874273052663,,,,0.0,,,,,,,,
2018-03-19,AMBER,1158.85,1161.45,1059.0,1070.35,2100,29408117.0,1112.15,1105.0,1144.0,1144.0,1212.0,1200.0,1189.0,1148.9,1149.1,1165.85,1213.1,1249.9,1098.05,1093.0,1075.2,1065.0,1142.0,1001.0,1160.05,1104.35,1101.35,1127.05,1155.2,1195.25,-0.07732425326494552,,,1205.1203123902444,,,,,,,,,,,,,1209.7675645416323,1211.48196331893,1215.1761689506172,1219.1012092592593,1222.275388888889,1224.5883333333334,,,,1,,,,,1.0,1.0,1.0,1.0,24.77631740540093,,,,0.0,,,,,,,,
2018-03-26,AMBER,1083.9,1110.0,1060.0,1076.35,1593,30478307.0,1158.85,1112.15,1105.0,1144.0,1144.0,1212.0,1161.45,1189.0,1148.9,1149.1,1165.85,1213.1,1059.0,1098.05,1093.0,1075.2,1065.0,1142.0,1070.35,1160.05,1104.35,1101.35,1127.05,1155.2,0.005605643013967487,,,1200.827968643903,,,,,,,,,,,,,1205.1203123902444,1209.7675645416323,1211.48196331893,1215.1761689506172,1219.1012092592593,1222.275388888889,,,,1,,,,,1.0,1.0,1.0,1.0,27.30070546306368,32.23858853299708,,,0.0,,,,,,,,
2018-04-02,AMBER,1075.0,1148.0,1074.35,1129.3,2718,35962075.0,1083.9,1158.85,1112.15,1105.0,1144.0,1144.0,1110.0,1161.45,1189.0,1148.9,1149.1,1165.85,1060.0,1059.0,1098.05,1093.0,1075.2,1065.0,1076.35,1070.35,1160.05,1104.35,1101.35,1127.05,0.049194035397407854,1132.6777923637576,,1198.4437030224396,,,,,,,,,,,,,1200.827968643903,1205.1203123902444,1209.7675645416323,1211.48196331893,1215.1761689506172,1219.1012092592593,,,,1,,,,,1.0,1.0,1.0,1.0,45.96904444596621,32.682022438143605,32.23858853299708,,0.0,,,,,,,,
