Period_End,Quarter,FY,Period,Revenue_Cr,Op_Profit_Cr,OPM_Pct,PAT_Cr,Source
2016-06-30,Q1 FY17,FY17,Apr-Jun 2016,625,51,8.2,7,Estimated (Seasonal)
2016-09-30,Q2 FY17,FY17,Jul-Sep 2016,135,9,6.7,1,Estimated (Seasonal)
2016-12-31,Q3 FY17,FY17,Oct-Dec 2016,290,22,7.6,3,Estimated (Seasonal)
2017-03-31,Q4 FY17,FY17,Jan-Mar 2017,602,49,8.1,11,Estimated (Seasonal)
2017-06-30,Q1 FY18,FY18,Apr-Jun 2017,900,82,9.1,23,Estimated (Seasonal)
2017-09-30,Q2 FY18,FY18,Jul-Sep 2017,200,15,7.5,4,Estimated (Seasonal)
2017-12-31,Q3 FY18,FY18,Oct-Dec 2017,400,35,8.8,12,Estimated (Seasonal)
2018-03-31,Q4 FY18,FY18,Jan-Mar 2018,618,52,8.4,23,Estimated (Seasonal)
2018-06-30,Q1 FY19,FY19,Apr-Jun 2018,1090,89,8.2,37,Estimated (Seasonal)
2018-09-30,Q2 FY19,FY19,Jul-Sep 2018,280,19,6.8,7,Estimated (Seasonal)
2018-12-31,Q3 FY19,FY19,Oct-Dec 2018,420,31,7.4,12,Estimated (Seasonal)
2019-03-31,Q4 FY19,FY19,Jan-Mar 2019,962,75,7.8,39,Estimated (Seasonal)
2019-06-30,Q1 FY20,FY20,Apr-Jun 2019,1600,127,7.9,75,Estimated (Seasonal)
2019-09-30,Q2 FY20,FY20,Jul-Sep 2019,628,39,6.2,13,BSE Filing (Confirmed)
2019-12-31,Q3 FY20,FY20,Oct-Dec 2019,420,31,7.4,14,Estimated (Seasonal)
2020-03-31,Q4 FY20,FY20,Jan-Mar 2020,1315,116,8.8,62,Derived (Annual Math)
2020-06-30,Q1 FY21,FY21,Apr-Jun 2020,260,14,5.4,-9,Estimated (COVID Lockdown)
2020-09-30,Q2 FY21,FY21,Jul-Sep 2020,408,20,4.8,3,BSE Filing (Confirmed)
2020-12-31,Q3 FY21,FY21,Oct-Dec 2020,765,45,5.9,14,Derived (Annual Math)
2021-03-31,Q4 FY21,FY21,Jan-Mar 2021,1598,147,9.2,75,BSE Filing (Confirmed)
2021-06-30,Q1 FY22,FY22,Apr-Jun 2021,900,60,6.7,20,Estimated (Seasonal)
2021-09-30,Q2 FY22,FY22,Jul-Sep 2021,600,40,6.7,13,Estimated (Seasonal)
2021-12-31,Q3 FY22,FY22,Oct-Dec 2021,769,45,5.9,21,Derived (Annual Math)
2022-03-31,Q4 FY22,FY22,Jan-Mar 2022,1937,133,6.9,57,BSE Filing (Confirmed)
2022-06-30,Q1 FY23,FY23,Apr-Jun 2022,2077,145,7.0,43,Estimated (9M Cross-check)
2022-09-30,Q2 FY23,FY23,Jul-Sep 2022,499,33,6.6,-2,Derived (Annual Math)
2022-12-31,Q3 FY23,FY23,Oct-Dec 2022,1348.31,78.52,5.82,15.08,Screener (Confirmed)
2023-03-31,Q4 FY23,FY23,Jan-Mar 2023,3002.62,203.51,6.78,108.09,Screener (Confirmed)
2023-06-30,Q1 FY24,FY24,Apr-Jun 2023,1701.99,131.92,7.75,46.61,Screener (Confirmed)
2023-09-30,Q2 FY24,FY24,Jul-Sep 2023,927.06,59.56,6.42,-5.65,Screener (Confirmed)
2023-12-31,Q3 FY24,FY24,Oct-Dec 2023,1294.76,78.50,6.06,-0.48,Screener (Confirmed)
2024-03-31,Q4 FY24,FY24,Jan-Mar 2024,2805.46,219.55,7.83,99.03,Screener (Confirmed)
2024-06-30,Q1 FY25,FY25,Apr-Jun 2024,2401.29,190.58,7.94,74.72,Screener (Confirmed)
2024-09-30,Q2 FY25,FY25,Jul-Sep 2024,1684.70,111.06,6.59,20.96,Screener (Confirmed)
2024-12-31,Q3 FY25,FY25,Oct-Dec 2024,2133.33,149.73,7.02,37.05,Screener (Confirmed)
2025-03-31,Q4 FY25,FY25,Jan-Mar 2025,3753.70,282.06,7.51,118.42,Screener (Confirmed)
2025-06-30,Q1 FY26,FY26,Apr-Jun 2025,3449.13,249.81,7.24,105.98,Screener (Confirmed)
2025-09-30,Q2 FY26,FY26,Jul-Sep 2025,1647.01,83.77,5.09,-32.15,Screener (Confirmed)
2025-12-31,Q3 FY26,FY26,Oct-Dec 2025,2942.82,237.47,8.07,-9.34,Screener (Confirmed)
2026-03-31,Q4 FY26,FY26,Jan-Mar 2026,4268,315,7.4,162,Derived (BSE Annual Filing)
