Period_End,Quarter,FY,Period,Revenue_Cr,Op_Profit_Cr,OPM_Pct,PAT_Cr,Source
2016-06-30,Q1 FY17,FY17,Apr-Jun 2016,1150,260,22.6,72,Estimated (Seasonal)
2016-09-30,Q2 FY17,FY17,Jul-Sep 2016,950,205,21.6,54,Estimated (Seasonal)
2016-12-31,Q3 FY17,FY17,Oct-Dec 2016,1200,268,22.3,78,Estimated (Seasonal)
2017-03-31,Q4 FY17,FY17,Jan-Mar 2017,1927,427,22.2,154,Estimated (Seasonal)
2017-06-30,Q1 FY18,FY18,Apr-Jun 2017,1900,350,18.4,138,Estimated (Seasonal)
2017-09-30,Q2 FY18,FY18,Jul-Sep 2017,1600,295,18.4,112,Estimated (Seasonal)
2017-12-31,Q3 FY18,FY18,Oct-Dec 2017,1900,360,18.9,132,Estimated (Seasonal)
2018-03-31,Q4 FY18,FY18,Jan-Mar 2018,2491,467,18.7,196,Estimated (Seasonal)
2018-06-30,Q1 FY19,FY19,Apr-Jun 2018,2522,479,19.0,223,Derived (Q1 FY20 YoY)
2018-09-30,Q2 FY19,FY19,Jul-Sep 2018,1860,345,18.5,104,Estimated (Seasonal)
2018-12-31,Q3 FY19,FY19,Oct-Dec 2018,2100,399,19.0,120,Estimated (Seasonal)
2019-03-31,Q4 FY19,FY19,Jan-Mar 2019,2921,542,18.6,100,Derived (Annual Math)
2019-06-30,Q1 FY20,FY20,Apr-Jun 2019,2436,511,21.0,100,BSE Filing (Confirmed)
2019-09-30,Q2 FY20,FY20,Jul-Sep 2019,2050,430,21.0,85,Estimated (Seasonal)
2019-12-31,Q3 FY20,FY20,Oct-Dec 2019,2100,441,21.0,90,Estimated (Seasonal)
2020-03-31,Q4 FY20,FY20,Jan-Mar 2020,3115,688,22.1,130,Derived (Annual Math)
2020-06-30,Q1 FY21,FY21,Apr-Jun 2020,2200,450,20.5,85,Estimated (COVID Partial)
2020-09-30,Q2 FY21,FY21,Jul-Sep 2020,2100,440,21.0,80,Estimated (Seasonal)
2020-12-31,Q3 FY21,FY21,Oct-Dec 2020,2550,535,21.0,100,Estimated (Seasonal)
2021-03-31,Q4 FY21,FY21,Jan-Mar 2021,3316,708,21.4,172,Derived (Annual Math)
2021-06-30,Q1 FY22,FY22,Apr-Jun 2021,2500,280,11.2,-50,Estimated (Seasonal)
2021-09-30,Q2 FY22,FY22,Jul-Sep 2021,1950,206,10.6,-150,Estimated (BOT Deconsolidation)
2021-12-31,Q3 FY22,FY22,Oct-Dec 2021,2246,20,0.9,-19,Derived (News YoY)
2022-03-31,Q4 FY22,FY22,Jan-Mar 2022,2868,270,9.4,-331,Derived (Annual Math)
2022-06-30,Q1 FY23,FY23,Apr-Jun 2022,2800,320,11.4,30,Derived (Annual Math)
2022-09-30,Q2 FY23,FY23,Jul-Sep 2022,2667,310,11.6,-71,Derived (Annual Math)
2022-12-31,Q3 FY23,FY23,Oct-Dec 2022,2322,157,6.8,110,Screener (Confirmed)
2023-03-31,Q4 FY23,FY23,Jan-Mar 2023,2841,170,6.0,-70,Screener (Confirmed)
2023-06-30,Q1 FY24,FY24,Apr-Jun 2023,2921,394,13.5,12,Screener (Confirmed)
2023-09-30,Q2 FY24,FY24,Jul-Sep 2023,2849,341,12.0,73,Screener (Confirmed)
2023-12-31,Q3 FY24,FY24,Oct-Dec 2023,2877,357,12.4,113,Screener (Confirmed)
2024-03-31,Q4 FY24,FY24,Jan-Mar 2024,3366,330,9.8,3,Screener (Confirmed)
2024-06-30,Q1 FY25,FY25,Apr-Jun 2024,3134,478,15.2,140,Screener (Confirmed)
2024-09-30,Q2 FY25,FY25,Jul-Sep 2024,2497,535,21.4,266,Screener (Confirmed)
2024-12-31,Q3 FY25,FY25,Oct-Dec 2024,2590,477,18.4,158,Screener (Confirmed)
2025-03-31,Q4 FY25,FY25,Jan-Mar 2025,3096,661,21.4,277,Screener (Confirmed)
2025-06-30,Q1 FY26,FY26,Apr-Jun 2025,2620,521,19.9,271,Screener (Confirmed)
2025-09-30,Q2 FY26,FY26,Jul-Sep 2025,1926,471,24.5,214,Screener (Confirmed)
2025-12-31,Q3 FY26,FY26,Oct-Dec 2025,2138,382,17.9,789,Screener (Confirmed)
2026-03-31,Q4 FY26,FY26,Jan-Mar 2026,2300,392,17.0,124,BSE Filing (Confirmed)
