Period_End,Quarter,FY,Period,Revenue_Cr,Op_Profit_Cr,OPM_Pct,PAT_Cr,Source
2016-06-30,Q1 FY17,FY17,Apr-Jun 2016,1460,349,23.9,80,Estimated (Seasonal)
2016-09-30,Q2 FY17,FY17,Jul-Sep 2016,1792,428,23.9,98,Estimated (Seasonal)
2016-12-31,Q3 FY17,FY17,Oct-Dec 2016,1660,397,23.9,91,Estimated (Seasonal)
2017-03-31,Q4 FY17,FY17,Jan-Mar 2017,1726,410,23.8,93,Estimated (Seasonal)
2017-06-30,Q1 FY18,FY18,Apr-Jun 2017,1331,248,18.6,87,Estimated (Seasonal)
2017-09-30,Q2 FY18,FY18,Jul-Sep 2017,1634,304,18.6,107,Estimated (Seasonal)
2017-12-31,Q3 FY18,FY18,Oct-Dec 2017,1513,281,18.6,100,Estimated (Seasonal)
2018-03-31,Q4 FY18,FY18,Jan-Mar 2018,1572,291,18.5,104,Estimated (Seasonal)
2018-06-30,Q1 FY19,FY19,Apr-Jun 2018,1436,235,16.4,50,Estimated (Seasonal)
2018-09-30,Q2 FY19,FY19,Jul-Sep 2018,1762,289,16.4,61,Estimated (Seasonal)
2018-12-31,Q3 FY19,FY19,Oct-Dec 2018,1632,268,16.4,57,Estimated (Seasonal)
2019-03-31,Q4 FY19,FY19,Jan-Mar 2019,1697,276,16.3,58,Estimated (Seasonal)
2019-06-30,Q1 FY20,FY20,Apr-Jun 2019,1550,279,18.0,121,Estimated (Seasonal)
2019-09-30,Q2 FY20,FY20,Jul-Sep 2019,1820,328,18.0,141,Estimated (Seasonal)
2019-12-31,Q3 FY20,FY20,Oct-Dec 2019,1685,303,18.0,131,Estimated (Seasonal)
2020-03-31,Q4 FY20,FY20,Jan-Mar 2020,1686,305,18.1,131,Estimated (Seasonal)
2020-06-30,Q1 FY21,FY21,Apr-Jun 2020,1615,297,18.4,121,Estimated (COVID Impact)
2020-09-30,Q2 FY21,FY21,Jul-Sep 2020,1982,365,18.4,149,Estimated (Seasonal)
2020-12-31,Q3 FY21,FY21,Oct-Dec 2020,1835,338,18.4,138,Estimated (Seasonal)
2021-03-31,Q4 FY21,FY21,Jan-Mar 2021,1908,352,18.4,143,Estimated (Seasonal)
2021-06-30,Q1 FY22,FY22,Apr-Jun 2021,2048,299,14.6,134,Estimated (Seasonal)
2021-09-30,Q2 FY22,FY22,Jul-Sep 2021,2514,367,14.6,164,Estimated (Seasonal)
2021-12-31,Q3 FY22,FY22,Oct-Dec 2021,2328,340,14.6,152,Estimated (Seasonal)
2022-03-31,Q4 FY22,FY22,Jan-Mar 2022,2421,356,14.7,157,Estimated (Seasonal)
2022-06-30,Q1 FY23,FY23,Apr-Jun 2022,1827,128,7.0,14,Derived (Annual Math)
2022-09-30,Q2 FY23,FY23,Jul-Sep 2022,2244,153,6.8,16,Derived (Annual Math)
2022-12-31,Q3 FY23,FY23,Oct-Dec 2022,1869.15,193.69,10.36,43.83,Screener (Confirmed)
2023-03-31,Q4 FY23,FY23,Jan-Mar 2023,2153.90,278.42,12.93,128.99,Screener (Confirmed)
2023-06-30,Q1 FY24,FY24,Apr-Jun 2023,2184.05,310.41,14.21,162.73,Screener (Confirmed)
2023-09-30,Q2 FY24,FY24,Jul-Sep 2023,2509.08,358.00,14.27,200.41,Screener (Confirmed)
2023-12-31,Q3 FY24,FY24,Oct-Dec 2023,2410.87,338.86,14.06,179.05,Screener (Confirmed)
2024-03-31,Q4 FY24,FY24,Jan-Mar 2024,2575.24,358.65,13.93,130.55,Screener (Confirmed)
2024-06-30,Q1 FY25,FY25,Apr-Jun 2024,2536.49,341.52,13.46,185.95,Screener (Confirmed)
2024-09-30,Q2 FY25,FY25,Jul-Sep 2024,2873.09,357.63,12.45,202.40,Screener (Confirmed)
2024-12-31,Q3 FY25,FY25,Oct-Dec 2024,2489.61,280.45,11.26,122.87,Screener (Confirmed)
2025-03-31,Q4 FY25,FY25,Jan-Mar 2025,2645.90,315.58,11.93,132.80,Screener (Confirmed)
2025-06-30,Q1 FY26,FY26,Apr-Jun 2025,2260.57,225.42,9.97,89.30,Screener (Confirmed)
2025-09-30,Q2 FY26,FY26,Jul-Sep 2025,2440.91,153.33,6.28,14.86,Screener (Confirmed)
2025-12-31,Q3 FY26,FY26,Oct-Dec 2025,2262.20,160.31,7.09,2.57,Screener (Confirmed)
2026-03-31,Q4 FY26,FY26,Jan-Mar 2026,2435.43,265.00,10.88,106.16,BSE Filing (Confirmed)
