Period_End,Quarter,FY,Period,Revenue_Cr,Op_Profit_Cr,OPM_Pct,PAT_Cr,Source
2016-06-30,Q1 FY17,FY17,Apr-Jun 2016,1544,414,26.8,533,Estimated (Seasonal)
2016-09-30,Q2 FY17,FY17,Jul-Sep 2016,1415,379,26.8,488,Estimated (Seasonal)
2016-12-31,Q3 FY17,FY17,Oct-Dec 2016,1737,465,26.8,599,Estimated (Seasonal)
2017-03-31,Q4 FY17,FY17,Jan-Mar 2017,1738,465,26.8,600,Estimated (Seasonal)
2017-06-30,Q1 FY18,FY18,Apr-Jun 2017,1605,499,31.1,355,Estimated (Seasonal)
2017-09-30,Q2 FY18,FY18,Jul-Sep 2017,1471,457,31.1,325,Estimated (Seasonal)
2017-12-31,Q3 FY18,FY18,Oct-Dec 2017,1805,561,31.1,399,Estimated (Seasonal)
2018-03-31,Q4 FY18,FY18,Jan-Mar 2018,1805,564,31.2,399,Estimated (Seasonal)
2018-06-30,Q1 FY19,FY19,Apr-Jun 2018,1904,615,32.3,376,Estimated (Seasonal)
2018-09-30,Q2 FY19,FY19,Jul-Sep 2018,1745,564,32.3,345,Estimated (Seasonal)
2018-12-31,Q3 FY19,FY19,Oct-Dec 2018,2142,692,32.3,423,Estimated (Seasonal)
2019-03-31,Q4 FY19,FY19,Jan-Mar 2019,2143,693,32.3,423,Estimated (Seasonal)
2019-06-30,Q1 FY20,FY20,Apr-Jun 2019,1951,302,15.5,126,Estimated (Seasonal)
2019-09-30,Q2 FY20,FY20,Jul-Sep 2019,1789,277,15.5,116,Estimated (Promoter Crisis)
2019-12-31,Q3 FY20,FY20,Oct-Dec 2019,2195,340,15.5,142,Estimated (Seasonal)
2020-03-31,Q4 FY20,FY20,Jan-Mar 2020,2195,341,15.5,141,Estimated (COVID Q4 Impact)
2020-06-30,Q1 FY21,FY21,Apr-Jun 2020,1160,241,20.8,119,Estimated (COVID Lockdown)
2020-09-30,Q2 FY21,FY21,Jul-Sep 2020,1855,385,20.8,190,Estimated (Seasonal)
2020-12-31,Q3 FY21,FY21,Oct-Dec 2020,2551,530,20.8,262,Estimated (Seasonal)
2021-03-31,Q4 FY21,FY21,Jan-Mar 2021,2164,450,20.8,222,Estimated (Seasonal)
2021-06-30,Q1 FY22,FY22,Apr-Jun 2021,1883,409,21.7,220,Estimated (Seasonal)
2021-09-30,Q2 FY22,FY22,Jul-Sep 2021,1883,409,21.7,220,Estimated (Seasonal)
2021-12-31,Q3 FY22,FY22,Oct-Dec 2021,2210,480,21.7,258,Estimated (Seasonal)
2022-03-31,Q4 FY22,FY22,Jan-Mar 2022,2210,479,21.7,258,Estimated (Seasonal)
2022-06-30,Q1 FY23,FY23,Apr-Jun 2022,1817,274,15.1,103,Derived (Annual Math)
2022-09-30,Q2 FY23,FY23,Jul-Sep 2022,2050,309,15.1,117,Derived (Annual Math)
2022-12-31,Q3 FY23,FY23,Oct-Dec 2022,2109,372,17.6,24,Screener (Confirmed)
2023-03-31,Q4 FY23,FY23,Jan-Mar 2023,2112,152,7.2,-196,Screener (Confirmed)
2023-06-30,Q1 FY24,FY24,Apr-Jun 2023,1984,159,8.0,-53,Screener (Confirmed)
2023-09-30,Q2 FY24,FY24,Jul-Sep 2023,2438,333,13.7,123,Screener (Confirmed)
2023-12-31,Q3 FY24,FY24,Oct-Dec 2023,2046,209,10.2,58,Screener (Confirmed)
2024-03-31,Q4 FY24,FY24,Jan-Mar 2024,2170,210,9.7,13,Screener (Confirmed)
2024-06-30,Q1 FY25,FY25,Apr-Jun 2024,2130,270,12.7,118,Screener (Confirmed)
2024-09-30,Q2 FY25,FY25,Jul-Sep 2024,2001,323,16.1,209,Screener (Confirmed)
2024-12-31,Q3 FY25,FY25,Oct-Dec 2024,1979,321,16.2,164,Screener (Confirmed)
2025-03-31,Q4 FY25,FY25,Jan-Mar 2025,2184,298,13.6,188,Screener (Confirmed)
2025-06-30,Q1 FY26,FY26,Apr-Jun 2025,1825,239,13.1,144,Screener (Confirmed)
2025-09-30,Q2 FY26,FY26,Jul-Sep 2025,1969,159,8.1,76,Screener (Confirmed)
2025-12-31,Q3 FY26,FY26,Oct-Dec 2025,2280,256,11.2,155,Screener (Confirmed)
2026-03-31,Q4 FY26,FY26,Jan-Mar 2026,2025,182,9.0,-104,Derived (BSE + Annual Math)
