,date,symbol,sc_code,sc_group,open,high,low,close,prev_close,volume,turnover
2319017,2018-01-30,AMBER,540902,B ,1180.0,1263.0,1114.1,1237.25,0.0,95364,2160924060.0
2322186,2018-01-31,AMBER,540902,B ,1232.5,1298.3,1230.0,1250.15,1237.25,23645,580864527.0
2325296,2018-02-01,AMBER,540902,B ,1256.0,1327.0,1227.0,1277.3,1250.15,18686,399959491.0
2328430,2018-02-02,AMBER,540902,B ,1260.0,1274.0,1200.4,1225.6,1277.3,6158,123131585.0
2331573,2018-02-05,AMBER,540902,B ,1200.0,1245.0,1001.0,1226.6,1225.6,4684,78297151.0
2334672,2018-02-06,AMBER,540902,B ,1190.0,1235.0,1126.0,1205.6,1226.6,2249,42124713.0
2337751,2018-02-07,AMBER,540902,B ,1225.0,1249.9,1190.0,1201.65,1205.6,1911,35536531.0
2340845,2018-02-08,AMBER,540902,B ,1205.1,1235.0,1177.5,1197.7,1201.65,2902,57193855.0
2343916,2018-02-09,AMBER,540902,B ,1180.0,1216.6,1176.05,1195.25,1197.7,1556,29417666.0
2347071,2018-02-12,AMBER,540902,B ,1212.0,1213.1,1189.05,1194.15,1195.25,905,15325487.0
2350232,2018-02-14,AMBER,540902,B ,1200.0,1205.2,1170.9,1182.75,1194.15,1336,28373343.0
2353383,2018-02-15,AMBER,540902,B ,1190.0,1192.95,1142.0,1149.45,1182.75,1169,12408552.0
2356485,2018-02-16,AMBER,540902,B ,1159.75,1187.95,1150.2,1155.2,1149.45,1288,18744250.0
2359591,2018-02-19,AMBER,540902,B ,1144.0,1161.3,1140.9,1146.75,1155.2,501,6333556.0
2362669,2018-02-20,AMBER,540902,B ,1120.0,1150.85,1116.0,1122.2,1146.75,859,11913585.0
2365724,2018-02-21,AMBER,540902,B ,1125.05,1135.0,1065.0,1081.35,1122.2,1819,28929321.0
2368778,2018-02-22,AMBER,540902,B ,1075.0,1165.85,1065.2,1132.85,1081.35,3912,48825389.0
