,date,symbol,sc_code,sc_group,open,high,low,close,prev_close,volume,turnover
1200974,2016-08-11,DBL,540047,B ,240.0,255.0,239.25,251.95,0.0,94030,1743401514.0
1203962,2016-08-12,DBL,540047,B ,255.0,258.8,243.9,244.2,251.95,17093,215945600.0
1206984,2016-08-16,DBL,540047,B ,244.0,249.0,243.8,244.8,244.2,5806,63843034.0
1210007,2016-08-17,DBL,540047,B ,244.25,244.65,226.55,241.6,244.8,9328,99033555.0
1213042,2016-08-18,DBL,540047,B ,241.0,245.9,235.8,242.0,241.6,4084,49132067.0
1216075,2016-08-19,DBL,540047,B ,248.4,249.9,244.0,245.7,242.0,5679,57409218.0
1219190,2016-08-22,DBL,540047,B ,245.0,248.0,237.05,238.7,245.7,2604,20225114.0
1222235,2016-08-23,DBL,540047,B ,239.95,244.45,237.95,238.9,238.7,2237,19308921.0
1225287,2016-08-24,DBL,540047,B ,239.1,240.6,235.2,236.6,238.9,1350,14461268.0
1228315,2016-08-25,DBL,540047,B ,236.7,237.7,231.3,233.05,236.6,1761,17957205.0
1231299,2016-08-26,DBL,540047,B ,235.0,235.0,225.0,227.25,233.05,3742,35822184.0
1234335,2016-08-29,DBL,540047,B ,227.25,228.8,215.4,219.75,227.25,4207,32463448.0
1237409,2016-08-30,DBL,540047,B ,221.85,232.0,218.1,226.2,219.75,4581,36166211.0
1240464,2016-08-31,DBL,540047,B ,228.0,248.1,223.0,237.0,226.2,7497,64576715.0
1243521,2016-09-01,DBL,540047,B ,236.85,244.8,235.3,239.0,237.0,3523,28536241.0
1246568,2016-09-02,DBL,540047,B ,239.85,244.85,237.5,238.85,239.0,1745,17532219.0
1249647,2016-09-06,DBL,540047,B ,239.5,241.0,235.0,235.75,238.85,1276,10048858.0
1252748,2016-09-07,DBL,540047,B ,241.75,241.75,234.65,235.55,235.75,1487,14188031.0
1255848,2016-09-08,DBL,540047,B ,236.95,238.65,234.95,236.45,235.55,1232,8819091.0
1258934,2016-09-09,DBL,540047,B ,236.45,236.45,229.45,230.3,236.45,2540,21358410.0
1261965,2016-09-12,DBL,540047,B ,224.1,231.8,223.0,228.9,230.3,3693,20159442.0
1265016,2016-09-14,DBL,540047,B ,229.0,233.45,228.15,229.65,228.9,672,4990894.0
1268100,2016-09-15,DBL,540047,B ,229.95,241.1,227.95,235.15,229.65,2152,18476442.0
1271210,2016-09-16,DBL,540047,B ,238.0,254.9,236.85,244.9,235.15,8329,79667863.0
1274351,2016-09-19,DBL,540047,B ,245.05,247.55,237.55,239.8,244.9,1306,13015642.0
1277466,2016-09-20,DBL,540047,B ,239.0,239.8,235.0,237.25,239.8,841,10055480.0
1280562,2016-09-21,DBL,540047,B ,235.85,241.2,232.25,233.5,237.25,1400,8555619.0
1283700,2016-09-22,DBL,540047,B ,235.5,239.7,234.0,237.1,233.5,1043,7461035.0
1286789,2016-09-23,DBL,540047,B ,233.0,239.9,233.0,235.3,237.1,791,5153546.0
1289870,2016-09-26,DBL,540047,B ,244.9,248.0,235.6,237.1,235.3,3569,33581720.0
1292939,2016-09-27,DBL,540047,B ,238.0,240.9,232.1,232.95,237.1,744,7060363.0
1295977,2016-09-28,DBL,540047,B ,237.0,242.0,234.9,238.45,232.95,1116,10884286.0
1299097,2016-09-29,DBL,540047,B ,239.9,244.95,222.2,225.2,238.45,2547,25700556.0
1302146,2016-09-30,DBL,540047,B ,248.0,248.0,223.1,233.9,225.2,2146,18037874.0
1305315,2016-10-03,DBL,540047,B ,235.9,245.1,235.9,239.9,233.9,1453,11880598.0
1308478,2016-10-04,DBL,540047,B ,242.15,243.0,236.75,237.3,239.9,377,3030768.0
1311662,2016-10-05,DBL,540047,B ,239.4,243.8,236.65,238.85,237.3,1036,8078536.0
1314850,2016-10-06,DBL,540047,B ,238.65,243.9,234.0,235.2,238.85,644,4808259.0
1318029,2016-10-07,DBL,540047,B ,236.55,241.0,233.25,234.65,235.2,1036,7980339.0
1321215,2016-10-10,DBL,540047,B ,235.55,239.0,230.0,233.4,234.65,1057,6113972.0
1324355,2016-10-13,DBL,540047,B ,232.45,234.0,225.05,227.5,233.4,594,4527365.0
1327490,2016-10-14,DBL,540047,B ,229.1,238.0,225.95,226.8,227.5,497,3442936.0
1330634,2016-10-17,DBL,540047,B ,226.85,229.8,226.0,226.95,226.8,635,3284725.0
1333845,2016-10-18,DBL,540047,B ,229.5,233.6,227.85,232.2,226.95,1189,6252279.0
1337051,2016-10-19,DBL,540047,B ,234.55,235.6,228.25,229.35,232.2,827,3941496.0
1340255,2016-10-20,DBL,540047,B ,232.0,233.15,228.3,230.25,229.35,573,2907720.0
1343453,2016-10-21,DBL,540047,B ,231.4,232.05,225.0,225.9,230.25,599,4556778.0
1346703,2016-10-24,DBL,540047,B ,228.0,231.0,227.9,228.7,225.9,619,3175657.0
1349910,2016-10-25,DBL,540047,B ,228.7,234.25,227.4,231.25,228.7,1534,8396215.0
1353080,2016-10-26,DBL,540047,B ,229.05,243.6,229.0,235.95,231.25,1699,8537492.0
1356159,2016-10-27,DBL,540047,B ,235.6,238.1,233.8,235.0,235.95,256,1541277.0
1359252,2016-10-28,DBL,540047,B ,232.0,242.4,232.0,238.4,235.0,1444,13897058.0
1362071,2016-10-30,DBL,540047,B ,239.0,239.0,232.55,233.7,238.4,153,1312791.0
