,date,symbol,sc_code,sc_group,open,high,low,close,prev_close,volume,turnover
2923,2015-01-01,NIFTYBEES,590103,B ,83.5,83.99,83.49,83.98,838.95,145,577489.0
6100,2015-01-02,NIFTYBEES,590103,B ,84.0,85.17,84.0,84.77,839.75,222,756187.0
9363,2015-01-05,NIFTYBEES,590103,B ,85.0,85.43,84.32,84.5,847.7,224,2330859.0
12499,2015-01-06,NIFTYBEES,590103,B ,84.3,84.3,82.3,82.59,844.95,295,2609882.0
15631,2015-01-07,NIFTYBEES,590103,B ,82.6,82.85,81.9,82.38,825.9,257,1878748.0
18782,2015-01-08,NIFTYBEES,590103,B ,82.65,83.4,82.25,83.29,823.8,96,340108.0
21964,2015-01-09,NIFTYBEES,590103,B ,83.5,83.99,82.8,83.8,832.9,140,896582.0
25163,2015-01-12,NIFTYBEES,590103,B ,83.9,84.4,83.27,84.28,838.05,124,791496.0
28361,2015-01-13,NIFTYBEES,590103,B ,84.5,84.5,83.7,83.95,842.85,78,566531.0
31500,2015-01-14,NIFTYBEES,590103,B ,83.8,84.0,83.2,83.88,839.5,55,444370.0
34654,2015-01-15,NIFTYBEES,590103,B ,84.15,86.01,84.0,85.64,838.75,315,3473565.0
37859,2015-01-16,NIFTYBEES,590103,B ,85.5,86.19,85.5,86.16,856.4,64,617880.0
41097,2015-01-19,NIFTYBEES,590103,B ,86.3,86.5,86.1,86.42,861.65,96,1173836.0
44343,2015-01-20,NIFTYBEES,590103,B ,86.5,87.87,86.5,87.7,864.25,142,1807238.0
47568,2015-01-21,NIFTYBEES,590103,B ,87.8,88.4,87.5,88.34,876.95,75,1104362.0
50777,2015-01-22,NIFTYBEES,590103,B ,88.0,88.9,88.0,88.64,883.45,222,2028132.0
53981,2015-01-23,NIFTYBEES,590103,B ,89.0,89.5,88.61,89.19,886.4,117,759590.0
57204,2015-01-27,NIFTYBEES,590103,B ,89.5,90.0,89.01,89.9,891.9,163,1376408.0
60359,2015-01-28,NIFTYBEES,590103,B ,89.75,90.6,89.0,89.93,899.05,362,7470403.0
63534,2015-01-29,NIFTYBEES,590103,B ,90.0,90.44,89.05,90.06,899.3,156,1302695.0
66673,2015-01-30,NIFTYBEES,590103,B ,90.5,90.5,89.0,89.3,900.55,151,1733653.0
69881,2015-02-02,NIFTYBEES,590103,B ,89.3,89.83,88.56,89.24,893.05,211,1046910.0
73045,2015-02-03,NIFTYBEES,590103,B ,89.4,89.5,88.14,88.52,892.45,238,1800957.0
76253,2015-02-04,NIFTYBEES,590103,B ,89.0,89.0,88.18,88.4,885.25,314,1088352.0
79446,2015-02-05,NIFTYBEES,590103,B ,88.7,89.4,87.81,88.2,883.95,122,480936.0
82598,2015-02-06,NIFTYBEES,590103,B ,88.0,88.4,87.63,88.16,881.95,106,523358.0
85742,2015-02-09,NIFTYBEES,590103,B ,87.5,87.5,86.45,86.55,881.65,186,1422267.0
88768,2015-02-10,NIFTYBEES,590103,B ,86.6,87.7,86.0,86.68,865.5,378,3270248.0
91843,2015-02-11,NIFTYBEES,590103,B ,87.0,87.99,86.73,87.32,866.85,159,566952.0
94972,2015-02-12,NIFTYBEES,590103,B ,87.4,88.5,87.02,88.06,873.25,156,745812.0
98125,2015-02-13,NIFTYBEES,590103,B ,88.5,89.4,88.41,89.32,880.55,114,707693.0
101320,2015-02-16,NIFTYBEES,590103,B ,89.1,89.6,88.9,89.2,893.25,177,813313.0
104529,2015-02-18,NIFTYBEES,590103,B ,89.02,89.9,88.7,89.78,892.0,112,658825.0
107683,2015-02-19,NIFTYBEES,590103,B ,89.82,90.0,88.42,89.8,897.75,214,585103.0
110877,2015-02-20,NIFTYBEES,590103,B ,89.2,89.9,88.6,88.85,898.0,124,241234.0
114055,2015-02-23,NIFTYBEES,590103,B ,89.3,89.3,87.5,87.8,888.5,109,546078.0
117224,2015-02-24,NIFTYBEES,590103,B ,87.7,88.38,87.7,88.05,878.0,63,618232.0
120392,2015-02-25,NIFTYBEES,590103,B ,88.58,88.7,87.5,87.68,880.5,156,1448614.0
123491,2015-02-26,NIFTYBEES,590103,B ,88.0,88.05,87.1,87.2,876.75,165,972552.0
126670,2015-02-27,NIFTYBEES,590103,B ,87.5,88.9,87.5,88.85,872.0,144,752838.0
129703,2015-02-28,NIFTYBEES,590103,B ,89.9,91.5,88.2,89.5,888.5,458,4439348.0
132803,2015-03-02,NIFTYBEES,590103,B ,89.9,90.5,89.05,89.82,895.0,155,294874.0
135963,2015-03-03,NIFTYBEES,590103,B ,89.1,90.45,89.0,89.95,898.25,98,636619.0
139162,2015-03-04,NIFTYBEES,590103,B ,90.6,90.98,88.9,89.15,899.5,217,789452.0
142306,2015-03-05,NIFTYBEES,590103,B ,89.8,89.8,88.7,89.25,891.5,56,174808.0
145462,2015-03-09,NIFTYBEES,590103,B ,88.8,89.18,87.55,87.88,892.5,218,1096298.0
148623,2015-03-10,NIFTYBEES,590103,B ,88.35,88.35,87.08,87.6,878.75,219,892658.0
151795,2015-03-11,NIFTYBEES,590103,B ,87.8,88.0,87.22,87.52,876.0,206,522782.0
154983,2015-03-12,NIFTYBEES,590103,B ,88.0,88.3,87.55,87.68,875.25,145,1173091.0
158131,2015-03-13,NIFTYBEES,590103,B ,88.45,88.45,86.42,86.68,876.75,454,3351253.0
161301,2015-03-16,NIFTYBEES,590103,B ,90.0,90.0,85.5,87.12,866.75,230,970193.0
164436,2015-03-17,NIFTYBEES,590103,B ,87.5,87.9,86.8,87.58,871.25,144,452359.0
167605,2015-03-18,NIFTYBEES,590103,B ,87.4,87.42,87.05,87.22,875.75,30,68054.0
170724,2015-03-19,NIFTYBEES,590103,B ,87.8,88.0,86.4,86.85,872.25,193,837874.0
173864,2015-03-20,NIFTYBEES,590103,B ,86.8,86.8,86.08,86.15,868.5,96,380680.0
177061,2015-03-23,NIFTYBEES,590103,B ,86.7,86.8,85.8,85.85,861.5,102,195335.0
180172,2015-03-24,NIFTYBEES,590103,B ,86.4,86.7,85.65,86.1,858.5,191,3539580.0
183324,2015-03-25,NIFTYBEES,590103,B ,86.2,86.4,85.62,85.9,861.0,62,193102.0
186427,2015-03-26,NIFTYBEES,590103,B ,85.75,86.0,84.0,84.4,859.0,314,5460019.0
189570,2015-03-27,NIFTYBEES,590103,B ,85.1,85.5,83.2,83.82,844.0,266,1733358.0
192623,2015-03-30,NIFTYBEES,590103,B ,84.5,85.28,84.05,85.08,838.25,161,1332302.0
195622,2015-03-31,NIFTYBEES,590103,B ,85.2,85.6,84.6,84.98,850.75,108,950325.0
198560,2015-04-01,NIFTYBEES,590103,B ,85.2,86.28,84.8,86.18,849.75,237,558030.0
201552,2015-04-06,NIFTYBEES,590103,B ,86.18,86.98,85.8,86.92,861.75,80,175650.0
204604,2015-04-07,NIFTYBEES,590103,B ,87.0,87.5,86.42,86.9,869.25,87,1160643.0
207691,2015-04-08,NIFTYBEES,590103,B ,87.2,87.4,86.82,87.2,869.0,99,445464.0
210773,2015-04-09,NIFTYBEES,590103,B ,87.5,87.95,87.2,87.88,872.0,65,537928.0
213876,2015-04-10,NIFTYBEES,590103,B ,88.0,88.1,87.4,88.0,878.75,71,776842.0
217012,2015-04-13,NIFTYBEES,590103,B ,90.0,90.0,87.7,88.12,880.0,46,88206.0
220138,2015-04-15,NIFTYBEES,590103,B ,88.1,88.6,87.05,87.68,881.25,128,330768.0
223202,2015-04-16,NIFTYBEES,590103,B ,87.7,87.7,86.9,87.2,876.75,92,286494.0
226305,2015-04-17,NIFTYBEES,590103,B ,87.5,87.58,86.1,86.45,872.0,103,653248.0
229413,2015-04-20,NIFTYBEES,590103,B ,86.5,88.0,85.1,85.22,864.5,138,704219.0
232419,2015-04-21,NIFTYBEES,590103,B ,85.9,85.9,84.0,84.2,852.25,238,1112199.0
235469,2015-04-22,NIFTYBEES,590103,B ,84.6,84.95,83.4,84.42,842.0,156,794731.0
238556,2015-04-23,NIFTYBEES,590103,B ,84.7,85.1,83.9,84.4,844.25,182,498142.0
241583,2015-04-24,NIFTYBEES,590103,B ,84.12,84.4,83.5,83.9,844.0,209,1418714.0
244574,2015-04-27,NIFTYBEES,590103,B ,84.0,84.0,82.3,82.68,839.0,215,908687.0
247588,2015-04-28,NIFTYBEES,590103,B ,82.8,83.8,82.45,83.45,826.75,198,964190.0
250573,2015-04-29,NIFTYBEES,590103,B ,83.28,83.7,82.7,83.15,834.5,223,841645.0
253577,2015-04-30,NIFTYBEES,590103,B ,82.7,83.0,82.02,82.8,831.5,510,4356368.0
256594,2015-05-04,NIFTYBEES,590103,B ,83.0,83.98,83.0,83.63,828.0,252,422719.0
259632,2015-05-05,NIFTYBEES,590103,B ,83.68,83.7,82.81,83.45,836.33,145,254853.0
262637,2015-05-06,NIFTYBEES,590103,B ,83.72,83.72,81.25,81.39,834.51,437,2441419.0
265581,2015-05-07,NIFTYBEES,590103,B ,81.5,81.85,80.51,80.94,813.87,330,2020722.0
268574,2015-05-08,NIFTYBEES,590103,B ,81.3,82.5,81.3,82.09,809.44,166,671616.0
271575,2015-05-11,NIFTYBEES,590103,B ,82.5,84.5,82.5,83.71,820.92,126,979529.0
274529,2015-05-12,NIFTYBEES,590103,B ,83.1,83.3,81.9,82.13,837.06,107,1630758.0
277494,2015-05-13,NIFTYBEES,590103,B ,82.2,83.08,81.75,82.93,821.32,90,524831.0
280473,2015-05-14,NIFTYBEES,590103,B ,82.79,83.4,82.0,82.81,829.26,123,1193633.0
283439,2015-05-15,NIFTYBEES,590103,B ,82.7,83.6,82.7,83.43,828.13,61,202301.0
286440,2015-05-18,NIFTYBEES,590103,B ,83.2,84.24,83.2,84.07,834.33,87,357387.0
289440,2015-05-19,NIFTYBEES,590103,B ,83.7,84.49,83.35,83.99,840.67,41,434520.0
292434,2015-05-20,NIFTYBEES,590103,B ,83.8,84.6,83.8,84.4,839.93,37,215491.0
295430,2015-05-21,NIFTYBEES,590103,B ,84.55,84.6,84.0,84.59,844.0,33,175421.0
298407,2015-05-22,NIFTYBEES,590103,B ,84.7,84.84,84.25,84.46,845.89,47,368031.0
