,date,symbol,sc_code,sc_group,open,high,low,close,prev_close,volume,turnover
893,2015-01-01,WELSPUNLIV,514162,B ,33.2,33.9,32.52,32.97,330.3,637,2469330.0
3998,2015-01-02,WELSPUNLIV,514162,B ,33.15,34.5,32.2,33.56,329.7,1332,6328876.0
7218,2015-01-05,WELSPUNLIV,514162,B ,33.59,33.75,32.0,32.49,335.6,609,2959920.0
10446,2015-01-06,WELSPUNLIV,514162,B ,32.5,32.8,30.99,31.19,324.95,850,3723287.0
13591,2015-01-07,WELSPUNLIV,514162,B ,31.35,32.3,30.51,31.97,311.9,1248,4697546.0
16723,2015-01-08,WELSPUNLIV,514162,B ,32.2,33.4,32.2,32.9,319.7,405,2432345.0
19873,2015-01-09,WELSPUNLIV,514162,B ,33.1,33.49,32.81,33.04,329.05,485,3011117.0
23074,2015-01-12,WELSPUNLIV,514162,B ,33.2,33.5,32.8,33.0,330.45,536,2805026.0
26272,2015-01-13,WELSPUNLIV,514162,B ,33.15,33.5,32.8,32.96,330.0,788,2923368.0
29426,2015-01-14,WELSPUNLIV,514162,B ,33.15,34.2,33.1,33.77,329.55,506,2486825.0
32579,2015-01-15,WELSPUNLIV,514162,B ,33.95,34.39,33.56,33.87,337.7,266,1136680.0
35763,2015-01-16,WELSPUNLIV,514162,B ,34.05,34.79,33.85,34.26,338.7,825,4196691.0
38962,2015-01-19,WELSPUNLIV,514162,B ,34.45,34.62,33.95,34.25,342.55,635,4676428.0
42202,2015-01-20,WELSPUNLIV,514162,B ,34.45,35.7,34.45,34.86,342.5,540,2625056.0
45466,2015-01-21,WELSPUNLIV,514162,B ,35.05,35.55,33.6,34.16,348.6,481,3312093.0
48673,2015-01-22,WELSPUNLIV,514162,B ,34.4,34.84,33.7,33.92,341.6,671,2375079.0
51872,2015-01-23,WELSPUNLIV,514162,B ,34.1,34.7,33.9,34.06,339.2,308,1445513.0
55110,2015-01-27,WELSPUNLIV,514162,B ,34.1,34.6,34.1,34.26,340.55,378,1740883.0
58312,2015-01-28,WELSPUNLIV,514162,B ,34.44,35.4,33.8,34.98,342.6,686,4307790.0
61458,2015-01-29,WELSPUNLIV,514162,B ,35.14,36.51,35.14,35.84,349.75,872,6517852.0
64622,2015-01-30,WELSPUNLIV,514162,B ,37.0,38.49,36.61,38.39,358.45,3465,33335854.0
67781,2015-02-02,WELSPUNLIV,514162,B ,38.2,40.0,38.1,38.95,383.95,2018,11083607.0
70974,2015-02-03,WELSPUNLIV,514162,B ,39.0,39.34,37.0,37.22,389.5,593,2682907.0
74169,2015-02-04,WELSPUNLIV,514162,B ,37.25,37.86,36.2,36.51,372.25,586,3974131.0
77365,2015-02-05,WELSPUNLIV,514162,B ,36.7,38.2,36.7,37.76,365.1,559,2177376.0
80534,2015-02-06,WELSPUNLIV,514162,B ,37.95,39.25,37.5,37.61,377.6,647,3224818.0
83697,2015-02-09,WELSPUNLIV,514162,B ,37.65,37.95,36.87,37.06,376.1,420,1879920.0
86787,2015-02-10,WELSPUNLIV,514162,B ,37.24,37.9,36.7,36.93,370.6,359,1217845.0
89836,2015-02-11,WELSPUNLIV,514162,B ,37.2,37.6,36.9,36.96,369.3,228,1239057.0
92918,2015-02-12,WELSPUNLIV,514162,B ,37.0,37.2,36.71,36.78,369.55,197,868905.0
96059,2015-02-13,WELSPUNLIV,514162,B ,36.8,37.34,35.8,36.08,367.75,516,2073564.0
99235,2015-02-16,WELSPUNLIV,514162,B ,36.0,36.11,35.41,35.69,360.75,213,850155.0
102437,2015-02-18,WELSPUNLIV,514162,B ,35.7,36.5,35.0,35.88,356.9,1099,3901461.0
105615,2015-02-19,WELSPUNLIV,514162,B ,35.88,36.0,35.0,35.44,358.8,630,2672597.0
108768,2015-02-20,WELSPUNLIV,514162,B ,35.45,35.65,35.2,35.34,354.35,276,1041698.0
111958,2015-02-23,WELSPUNLIV,514162,B ,35.5,36.1,35.5,35.52,353.35,582,5919122.0
115162,2015-02-24,WELSPUNLIV,514162,B ,35.7,36.04,34.5,34.8,355.15,592,12624304.0
118320,2015-02-25,WELSPUNLIV,514162,B ,35.0,35.88,35.0,35.51,348.0,401,9429748.0
121472,2015-02-26,WELSPUNLIV,514162,B ,35.7,35.75,35.0,35.14,355.05,178,603173.0
124592,2015-02-27,WELSPUNLIV,514162,B ,35.1,35.9,35.1,35.84,351.35,318,4238396.0
127736,2015-02-28,WELSPUNLIV,514162,B ,35.85,36.0,35.0,35.01,358.35,318,2736313.0
130744,2015-03-02,WELSPUNLIV,514162,B ,35.0,35.4,34.5,34.84,350.1,419,1849247.0
133902,2015-03-03,WELSPUNLIV,514162,B ,34.97,35.45,34.1,34.24,348.4,575,6456576.0
137073,2015-03-04,WELSPUNLIV,514162,B ,34.3,35.1,33.5,34.16,342.35,543,1757809.0
140244,2015-03-05,WELSPUNLIV,514162,B ,34.2,34.9,33.0,34.4,341.65,607,6556904.0
143422,2015-03-09,WELSPUNLIV,514162,B ,34.67,34.7,33.9,34.1,344.0,267,5786695.0
