,date,symbol,sc_code,sc_group,open,high,low,close,prev_close,volume,turnover
451,2015-01-01,ZEEL,505537,A ,380.5,381.0,377.0,378.0,380.75,1049,11451721.0
3518,2015-01-02,ZEEL,505537,A ,378.0,384.0,378.0,380.6,378.0,1506,17643857.0
6745,2015-01-05,ZEEL,505537,A ,380.0,382.0,377.25,380.15,380.6,1613,12955616.0
10000,2015-01-06,ZEEL,505537,A ,377.0,378.2,361.35,367.3,380.15,6113,48652236.0
13128,2015-01-07,ZEEL,505537,A ,369.35,369.35,360.25,364.75,367.3,2592,22816256.0
16264,2015-01-08,ZEEL,505537,A ,366.55,368.7,362.55,364.9,364.75,1673,14299169.0
19417,2015-01-09,ZEEL,505537,A ,367.55,368.0,357.4,360.85,364.9,4933,38423970.0
22608,2015-01-12,ZEEL,505537,A ,361.0,362.8,354.15,360.95,360.85,1410,16255236.0
25804,2015-01-13,ZEEL,505537,A ,359.0,367.05,359.0,361.85,360.95,2160,24167565.0
28969,2015-01-14,ZEEL,505537,A ,361.0,363.45,358.4,359.9,361.85,1753,14793073.0
32104,2015-01-15,ZEEL,505537,A ,363.55,370.5,361.45,369.75,359.9,3616,23756856.0
35290,2015-01-16,ZEEL,505537,A ,370.0,386.9,367.8,385.2,369.75,5980,61649154.0
38480,2015-01-19,ZEEL,505537,A ,390.0,390.3,381.25,383.8,385.2,2002,22374918.0
41717,2015-01-20,ZEEL,505537,A ,389.0,393.35,381.05,390.8,383.8,2564,42463655.0
44983,2015-01-21,ZEEL,505537,A ,393.2,400.0,376.5,381.6,390.8,22149,272468224.0
48201,2015-01-22,ZEEL,505537,A ,383.0,390.75,383.0,389.3,381.6,5274,59043988.0
51394,2015-01-23,ZEEL,505537,A ,391.0,393.45,387.15,389.9,389.3,3660,44279326.0
54636,2015-01-27,ZEEL,505537,A ,389.0,391.5,384.55,389.65,389.9,1654,19315637.0
57842,2015-01-28,ZEEL,505537,A ,389.0,391.55,385.65,386.95,389.65,1837,18358126.0
60985,2015-01-29,ZEEL,505537,A ,387.55,389.2,382.85,385.3,386.95,1932,23259407.0
64155,2015-01-30,ZEEL,505537,A ,386.8,386.8,373.75,377.5,385.3,4316,37555990.0
67302,2015-02-02,ZEEL,505537,A ,377.5,377.5,369.9,372.25,377.5,1806,14696840.0
70505,2015-02-03,ZEEL,505537,A ,372.25,376.6,371.1,372.8,372.25,1714,17510549.0
73697,2015-02-04,ZEEL,505537,A ,374.15,374.85,362.0,364.35,372.8,3631,33349894.0
76888,2015-02-05,ZEEL,505537,A ,364.35,367.5,359.1,360.55,364.35,4356,48177794.0
80083,2015-02-06,ZEEL,505537,A ,358.0,366.65,358.0,360.9,360.55,2233,17294070.0
83249,2015-02-09,ZEEL,505537,A ,362.0,362.0,348.7,351.65,360.9,4698,32371277.0
86362,2015-02-10,ZEEL,505537,A ,355.0,355.0,347.15,350.95,351.65,4323,41653221.0
89387,2015-02-11,ZEEL,505537,A ,350.5,352.0,342.1,346.05,350.95,4018,35629219.0
92457,2015-02-12,ZEEL,505537,A ,350.0,362.7,350.0,361.05,346.05,4886,46761286.0
95600,2015-02-13,ZEEL,505537,A ,362.0,366.8,360.7,363.65,361.05,2677,20444152.0
98765,2015-02-16,ZEEL,505537,A ,364.0,366.3,358.7,360.15,363.65,2890,20785594.0
101965,2015-02-18,ZEEL,505537,A ,361.0,361.0,352.8,355.95,360.15,3036,18076489.0
105158,2015-02-19,ZEEL,505537,A ,358.55,361.45,351.0,353.0,355.95,3160,24550055.0
108307,2015-02-20,ZEEL,505537,A ,353.85,359.95,353.85,357.85,353.0,2534,17688066.0
111497,2015-02-23,ZEEL,505537,A ,362.0,362.0,342.5,345.2,357.85,3638,25193341.0
114694,2015-02-24,ZEEL,505537,A ,344.05,353.4,343.0,352.3,345.2,3325,29781648.0
117852,2015-02-25,ZEEL,505537,A ,353.0,353.45,346.3,348.55,352.3,2108,19961329.0
121017,2015-02-26,ZEEL,505537,A ,348.9,351.55,340.1,342.85,348.55,3536,19784329.0
124135,2015-02-27,ZEEL,505537,A ,347.65,349.9,342.25,348.3,342.85,2444,16145023.0
127287,2015-02-28,ZEEL,505537,A ,350.0,351.0,343.5,347.5,348.3,2255,21292113.0
130282,2015-03-02,ZEEL,505537,A ,347.8,350.05,341.05,343.0,347.5,2308,18663132.0
133429,2015-03-03,ZEEL,505537,A ,346.85,348.9,341.15,347.95,343.0,3778,27918601.0
136609,2015-03-04,ZEEL,505537,A ,350.0,350.05,340.85,341.7,347.95,2255,23426328.0
139787,2015-03-05,ZEEL,505537,A ,342.0,344.05,335.0,341.35,341.7,3852,25445716.0
142951,2015-03-09,ZEEL,505537,A ,338.0,342.4,335.0,336.45,341.35,1333,9347908.0
146110,2015-03-10,ZEEL,505537,A ,337.0,345.0,334.55,341.45,336.45,2459,18598289.0
149296,2015-03-11,ZEEL,505537,A ,341.7,349.1,339.0,347.95,341.45,3725,32655943.0
152426,2015-03-12,ZEEL,505537,A ,350.0,354.0,346.9,352.75,347.95,2268,17860526.0
155611,2015-03-13,ZEEL,505537,A ,357.0,357.0,343.0,344.25,352.75,2706,12662434.0
158765,2015-03-16,ZEEL,505537,A ,349.95,357.5,341.0,354.3,344.25,2340,14973268.0
161952,2015-03-17,ZEEL,505537,A ,354.5,357.8,347.8,355.8,354.3,3240,19841106.0
165081,2015-03-18,ZEEL,505537,A ,356.0,371.0,354.3,367.05,355.8,7751,60091352.0
168217,2015-03-19,ZEEL,505537,A ,364.6,370.0,358.85,360.75,367.05,4968,22297650.0
171344,2015-03-20,ZEEL,505537,A ,360.95,361.0,351.1,353.3,360.75,2440,19230863.0
174513,2015-03-23,ZEEL,505537,A ,355.0,361.9,348.1,350.9,353.3,2205,16628988.0
177701,2015-03-24,ZEEL,505537,A ,347.7,355.0,346.55,353.25,350.9,1400,8203211.0
180812,2015-03-25,ZEEL,505537,A ,353.0,354.35,346.2,349.0,353.25,1671,12751684.0
183966,2015-03-26,ZEEL,505537,A ,347.9,352.25,337.3,339.6,349.0,2872,21282748.0
187048,2015-03-27,ZEEL,505537,A ,341.3,343.5,330.55,337.5,339.6,4492,30600198.0
190188,2015-03-30,ZEEL,505537,A ,342.0,344.85,337.0,342.1,337.5,4820,17800122.0
193228,2015-03-31,ZEEL,505537,A ,343.0,343.9,337.0,341.7,342.1,2324,15111316.0
196211,2015-04-01,ZEEL,505537,A ,348.95,348.95,339.1,340.65,341.7,1665,11705966.0
199163,2015-04-06,ZEEL,505537,A ,343.1,344.2,337.0,338.35,340.65,2077,12461969.0
202197,2015-04-07,ZEEL,505537,A ,340.5,340.5,333.7,336.95,338.35,2183,16559718.0
205234,2015-04-08,ZEEL,505537,A ,337.5,341.9,336.9,341.1,336.95,4795,36943787.0
208305,2015-04-09,ZEEL,505537,A ,342.0,358.05,342.0,356.9,341.1,7285,74697425.0
211396,2015-04-10,ZEEL,505537,A ,357.0,357.0,345.8,347.85,356.9,3100,21967657.0
214507,2015-04-13,ZEEL,505537,A ,349.55,349.55,343.2,346.5,347.85,2063,20517149.0
217634,2015-04-15,ZEEL,505537,A ,346.5,351.0,342.45,343.75,346.5,1684,12546119.0
220738,2015-04-16,ZEEL,505537,A ,342.3,343.25,336.2,340.25,343.75,2169,19193805.0
223821,2015-04-17,ZEEL,505537,A ,342.0,342.0,333.5,336.3,340.25,3963,26457712.0
226921,2015-04-20,ZEEL,505537,A ,345.0,345.0,325.5,328.45,336.3,3302,24681547.0
230032,2015-04-21,ZEEL,505537,A ,329.85,333.35,324.5,325.6,328.45,3421,1321020864.0
233048,2015-04-22,ZEEL,505537,A ,327.0,330.5,313.7,323.0,325.6,6796,121531181.0
236101,2015-04-23,ZEEL,505537,A ,327.0,330.7,323.15,328.75,323.0,4867,36160899.0
239159,2015-04-24,ZEEL,505537,A ,329.0,331.65,319.2,320.6,328.75,2564,19483378.0
242201,2015-04-27,ZEEL,505537,A ,319.5,325.3,319.45,324.3,320.6,3913,35641644.0
245204,2015-04-28,ZEEL,505537,A ,321.4,323.0,314.7,320.5,324.3,3551,24229092.0
248211,2015-04-29,ZEEL,505537,A ,320.0,324.45,319.3,320.5,320.5,1887,18396399.0
251192,2015-04-30,ZEEL,505537,A ,318.5,318.5,311.5,312.75,320.5,3219,22617269.0
254154,2015-05-04,ZEEL,505537,A ,315.1,321.7,314.1,320.5,312.75,4062,1307461738.0
257210,2015-05-05,ZEEL,505537,A ,320.0,321.0,313.0,315.2,320.5,11141,118267822.0
