ticker,trade_count,buy_date,sell_date,avg_buy_price,sell_price,units,cost_basis,proceeds,realized_gain_abs,realized_gain_pct,holding_days
WELSPUNLIV,4,2016-07-01,2016-08-23,106.90396439302579,65.85,97846,10460125.3,6443159.1,-4016966.200000001,-0.3840265852264696,53
WELSPUNLIV,19,2017-02-13,2017-08-11,88.99153849920299,69.0,367618,32714891.400000006,25365642.0,-7349249.400000006,-0.2246453858012808,179
ZEEL,9,2016-11-01,2018-07-13,529.5765331931805,508.65,60886,32243796.799999986,30969663.9,-1274132.8999999873,-0.03951559761721324,619
WELSPUNLIV,34,2018-08-13,2019-02-06,65.84809152543839,54.05,462254,30438543.7,24984828.7,-5453715.0,-0.17917135109193805,177
DBL,15,2019-03-07,2019-06-19,617.2641223380949,400.25,45644,28174403.600000005,18269011.0,-9905392.600000005,-0.3515741713872518,104
ZEEL,18,2020-08-31,2021-08-26,211.86308051837688,168.0,94140,19944790.4,15815520.0,-4129270.3999999985,-0.20703503607638807,360
DBL,25,2020-08-14,2021-12-20,373.1517343551903,463.65,70199,26194878.6,32547766.349999998,6352887.749999996,0.24252403864929528,493
WELSPUNLIV,43,2020-08-14,2022-02-24,121.98502091857846,102.3,217510,26532961.9,22251273.0,-4281688.8999999985,-0.16137244368484915,559
ZEEL,25,2021-09-15,2022-02-24,284.9840437801578,221.0,84970,24215094.200000007,18778370.0,-5436724.200000007,-0.22451798680180257,162
AMBER,6,2019-09-25,2022-05-16,877.9022830111066,2701.2,26741,23475984.950000003,72232789.19999999,48756804.249999985,2.076880026710018,964
DBL,36,2023-06-02,2025-01-27,232.75636945151945,377.35,154299,35914075.05,58224727.650000006,22310652.60000001,0.6212230878545211,605
WELSPUNLIV,57,2023-04-20,2025-02-03,91.43946402361556,131.95,425821,38936844.01,56187080.949999996,17250236.939999998,0.4430312054970271,655
ZEEL,42,2025-05-19,2025-10-17,126.7634658594389,105.4,715205,90661864.6,75382607.0,-15279257.599999994,-0.168530149555296,151
AMBER,15,2023-05-26,2026-01-13,2127.3609409614537,6145.0,18056,38411629.150000006,110954120.0,72542490.85,1.8885554311356247,963
DBL,40,2025-09-19,2026-02-16,559.9270935496039,430.6,42416,23749867.599999998,18264329.6,-5485537.999999996,-0.2309713086568953,150
